"","Weir","Trap_Year","Species","Trap Mort","DOA","Killed","total_morts"
"1","Freezeout Creek Weir",2016,"Steelhead",1,7,0,8
"2","Freezeout Creek Weir",2015,"Rainbow Trout",2,1,0,3
"3","Freezeout Creek Weir",2015,"Steelhead",0,2,0,2
"4","Freezeout Creek Weir",2014,"Steelhead",0,4,0,4
"5","Gumboot Creek Weir",2017,"Steelhead",0,1,0,1
"6","Gumboot Creek Weir",2016,"Steelhead",0,1,0,1
"7","Gumboot Creek Weir",2015,"Steelhead",0,2,0,2
"8","Gumboot Creek Weir",2014,"Steelhead",1,5,0,6
"9","Imnaha River Weir",2015,"Steelhead",0,5,0,5
"10","Johnson Creek Weir",2017,"Chinook",0,0,13,13
"11","Johnson Creek Weir",2016,"Chinook",0,0,10,10
"12","Johnson Creek Weir",2015,"Chinook",0,0,25,25
"13","Johnson Creek Weir",2015,"Steelhead",0,14,0,14
"14","Johnson Creek Weir",2014,"Chinook",1,0,15,16
"15","Johnson Creek Weir",2013,"Chinook",1,0,14,15
"16","Johnson Creek Weir",2013,"Steelhead",0,2,0,2
"17","Johnson Creek Weir",2012,"Chinook",1,0,13,14
"18","Johnson Creek Weir",2012,"Steelhead",0,1,0,1
"19","Johnson Creek Weir",2011,"Chinook",1,0,158,159
"20","Johnson Creek Weir",2010,"Chinook",0,0,36,36
"21","Johnson Creek Weir",2010,"Steelhead",0,2,0,2
"22","Johnson Creek Weir",2009,"Chinook",5,0,27,32
"23","Johnson Creek Weir",2008,"Chinook",1,0,71,72
"24","Johnson Creek Weir",2007,"Chinook",0,0,12,12
"25","Johnson Creek Weir",2006,"Chinook",1,0,12,13
"26","Johnson Creek Weir",2006,"Steelhead",1,0,0,1
"27","Johnson Creek Weir",2005,"Chinook",0,0,3,3
"28","Johnson Creek Weir",2004,"Bull Trout",1,0,0,1
"29","Johnson Creek Weir",2004,"Chinook",1,0,17,18
"30","Johnson Creek Weir",2004,"Mtn White Fish",1,0,0,1
"31","Johnson Creek Weir",2003,"Chinook",1,0,12,13
"32","Johnson Creek Weir",2003,"Cutthroat",1,0,0,1
"33","Johnson Creek Weir",2003,"Mtn White Fish",1,0,0,1
"34","Johnson Creek Weir",2003,"Steelhead",0,1,0,1
"35","Johnson Creek Weir",2002,"Chinook",9,0,1,10
"36","Johnson Creek Weir",2002,"Steelhead",0,2,0,2
