"","weir","Trap_Year","Species","Moved To Facility","Biological Sampling","Brood Stock","Distribution","Fisheries","General Holding","Natural Spawning","Nutrient Enhancement","Other","Recycled","Stray Relocation","Stray Removal","Stray Removal Distribution","Unknown","Within FINS Facility","Trap Mort","DOA","Killed","total_morts"
"1","Bradford Weir (Lolo Creek)",2002,"Chinook","NPTH M&E Program",NA,NA,NA,NA,NA,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Camp Creek Weir",2018,"Rainbow Trout","NPT ISAM Program",NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Camp Creek Weir",2018,"Steelhead","NPT ISAM Program",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Dry Creek Weir",2014,"Steelhead","NPT ISAM Program",NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Dry Creek Weir",2015,"Steelhead","NPT ISAM Program",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Freezeout Creek Weir",2014,"Rainbow Trout","NPT ISAM Program",NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Freezeout Creek Weir",2014,"Steelhead","NPT ISAM Program",NA,NA,NA,NA,NA,64,4,NA,NA,NA,NA,NA,NA,NA,0,4,0,4
"8","Freezeout Creek Weir",2015,"Rainbow Trout","NPT ISAM Program",NA,NA,NA,NA,NA,6,3,NA,NA,NA,NA,NA,NA,NA,2,1,0,3
"9","Freezeout Creek Weir",2015,"Steelhead","NPT ISAM Program",NA,NA,NA,NA,NA,98,2,NA,NA,NA,NA,NA,NA,NA,0,2,0,2
"10","Freezeout Creek Weir",2016,"Rainbow Trout","NPT ISAM Program",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Freezeout Creek Weir",2016,"Steelhead","NPT ISAM Program",NA,NA,NA,NA,NA,43,8,NA,NA,NA,NA,NA,NA,NA,1,7,0,8
"12","Freezeout Creek Weir",2017,"Rainbow Trout","NPT ISAM Program",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Gumboot Creek Weir",2014,"Steelhead","NPT ISAM Program",NA,NA,NA,NA,NA,60,6,NA,NA,NA,NA,NA,NA,NA,1,5,0,6
"14","Gumboot Creek Weir",2015,"Rainbow Trout","NPT ISAM Program",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Gumboot Creek Weir",2015,"Steelhead","NPT ISAM Program",NA,NA,NA,NA,NA,52,2,NA,NA,NA,NA,NA,NA,NA,0,2,0,2
"16","Gumboot Creek Weir",2016,"Rainbow Trout","NPT ISAM Program",NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Gumboot Creek Weir",2016,"Steelhead","NPT ISAM Program",NA,NA,NA,NA,NA,24,1,NA,NA,NA,NA,NA,NA,NA,0,1,0,1
"18","Gumboot Creek Weir",2017,"Steelhead","NPT ISAM Program",NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,0,1,0,1
"19","Imnaha River Weir",2015,"Steelhead","NPT ISAM Program",NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,0,5,0,5
"20","Imnaha River Weir",2016,"Steelhead","NPT ISAM Program",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
